date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/9/8,3,ASUS RT-AC57U,1199,11,78,126,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/8,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,62,94,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/8,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,35,104,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/8,6,TP-LINK TL-WR940N,599,0,58,82,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/8,7,TP-LINK M7200,1499,0,19,53,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/8,8,"Tenda F3 (N300, F303)",369,0,34,37,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/8,9,ASUS RT-AC58U,1999,0,20,85,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/8,10,TP-LINK Deco M5 3ks,6990,0,14,56,https://www.alza.cz/EN/tp-link-deco-m5-d5072789.htm
2019/9/9,1,TP-Link Archer C6,999,33,234,328,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/9,2,TP-LINK TL-WR841N,499,20,146,299,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/9,3,ASUS RT-AC57U,1199,11,77,147,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/9,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,58,129,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/9,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,38,132,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/9,6,TP-LINK TL-WR940N,599,0,54,85,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/9,7,TP-LINK M7200,1499,0,19,64,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/9,8,ASUS RT-AC58U,1999,0,20,125,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/9,9,TP-LINK Deco M5 3ks,6990,0,14,54,https://www.alza.cz/EN/tp-link-deco-m5-d5072789.htm
2019/9/9,10,"Tenda F3 (N300, F303)",369,0,32,42,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/10,1,TP-Link Archer C6,999,33,235,345,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/10,2,TP-LINK TL-WR841N,499,21,150,240,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/10,3,ASUS RT-AC57U,1199,11,80,130,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/10,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,66,120,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/10,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,36,124,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/10,6,TP-LINK TL-WR940N,599,0,54,73,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/10,7,ASUS RT-AC58U,1999,0,22,90,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/10,8,TP-LINK M7200,1499,0,19,77,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/10,9,TP-LINK Deco M5 3ks,6490,0,15,64,https://www.alza.cz/EN/tp-link-deco-m5-d5072789.htm
